ID_wyr,date,case,snod,dens,Shr5,deer,tri,cc
MC205F_2019,12/4/18,0,0.099491291,259.1209412,0.2,0.323318273,8.193435669,0
MC205F_2019,12/4/18,0,0.0819785,250.7058563,0.28,0.25388833,5.001785278,0
MC205F_2019,12/4/18,0,0,238.439476,0.62,0.153248967,10.57712173,2336
MC205F_2019,12/4/18,0,0.021721579,206.1197815,0,0.014216609,7.038967133,6107.5
MC205F_2019,12/4/18,1,0.009268793,187.1578522,0,0.009366892,1.639091492,5754
MC205F_2019,12/4/18,0,0.13259811,284.311676,0.88,0.330778758,12.32714844,0
MC205F_2019,12/16/18,0,0.214101747,223.2853775,0.38,0.136473813,4.806556702,0
MC205F_2019,12/16/18,0,0.275618464,224.3128662,0.24,0.180370655,11.62052917,0
MC205F_2019,12/16/18,0,0.046126479,162.7528687,0.6,0.066501888,1.549102783,2511.5
MC205F_2019,12/16/18,1,0.145025507,193.3266449,0,0.048917332,8.034164429,5765
MC205F_2019,12/16/18,0,0.119292594,203.2073212,0.28,0.093028472,9.339385986,3715
MC205F_2019,12/16/18,0,0.321209267,255.5143585,0.6,0.012408205,0.904350281,3854
MC205F_2019,12/27/18,1,0.514610231,284.3890991,0.64,0.170451019,11.00022888,2992
MC205F_2019,12/27/18,0,0.257955819,261.748558,0.32,0.032681129,2.313369751,4430.5
MC205F_2019,12/27/18,0,0.175578967,263.5579529,0.64,0.201807991,7.082351685,4212
MC205F_2019,12/27/18,0,0.327461451,310.8972473,0,0.028459372,4.819076538,6136.5
MC205F_2019,12/27/18,0,0.431561887,327.4661255,0,0.06312091,9.447036743,5990
MC205F_2019,12/27/18,0,0.439882159,330.5710449,0.04,0.026311192,6.203323364,5318
MC205F_2019,1/7/19,1,0.225484893,328.8363953,0.28,0.336998955,8.830314636,0
MC205F_2019,1/7/19,0,0.294271052,328.5452271,0.72,0.190204057,7.549316406,3022
MC205F_2019,1/7/19,0,0.385311723,349.0827637,0.44,0.071252373,9.991958618,1431
MC205F_2019,1/7/19,0,0.307975307,332.5383911,0.56,0.094403533,5.207389832,2860.5
MC205F_2019,1/7/19,0,0.550398886,348.4193726,0.56,0.101707796,7.846282959,4100
MC205F_2019,1/7/19,0,0.259467095,349.3487854,0,0.039608999,8.883010864,5675
MC205F_2019,1/16/19,1,0.293228865,331.2288208,0.66,0.356683925,9.581306458,0
MC205F_2019,1/16/19,0,0.357290924,351.5862732,0.48,0.087294237,4.018081665,0
MC205F_2019,1/16/19,0,0.287419438,357.357666,0.92,0.305456121,10.59426117,2285
MC205F_2019,1/16/19,0,0.500684708,358.5190735,0.04,0.103759863,6.58026123,0
MC205F_2019,1/16/19,0,0.316511571,368.1610107,0.04,0.077098933,8.385604858,5395
MC205F_2019,1/16/19,0,0.434498906,395.2179565,0.48,0.144880942,14.3311615,4098
MC205F_2019,1/22/19,1,0.348116815,326.6764679,0.24,0.303154015,8.489345551,0
MC205F_2019,1/22/19,0,0.458450466,335.7257996,0.6,0.123248084,5.620666504,0
MC205F_2019,1/22/19,0,0.440604508,387.6599426,0.12,0.04142967,7.641525269,2803
MC205F_2019,1/22/19,0,0.467762023,383.3814087,0.32,0.129010436,7.4973526,0
MC205F_2019,1/22/19,0,0.237711959,341.2144165,0.12,0.07813658,8.608703613,5159
MC205F_2019,1/22/19,0,0.425462961,376.6017761,0.04,0.064205904,9.322891235,5856
MC205F_2019,2/6/19,1,0.507796288,389.6593018,0.04,0.229038014,12.1889801,0
MC205F_2019,2/6/19,1,0.539608061,382.913269,0.24,0.210420886,9.257194519,0
MC205F_2019,2/6/19,0,0.500537306,403.2943268,0,0.022666266,8.390464783,3102
MC205F_2019,2/6/19,0,0.638025522,373.7514801,0.32,0.081123671,4.631378174,2728
MC205F_2019,2/6/19,0,0.299144506,376.2603149,0.24,0.055972592,5.834091187,4278
MC205F_2019,2/6/19,0,0.282546088,377.2780762,0,0.016420906,9.700805664,5316
MC205F_2019,2/6/19,0,0.459884495,401.5641174,0,0.028482217,7.412887573,5210
MC205F_2019,2/6/19,0,0.301877975,380.9451294,0.32,0.03353341,4.790267944,4970
MC205F_2019,2/6/19,0,0.624287754,363.3784485,0,0.050411851,5.643135071,6235.5
MC205F_2019,2/6/19,0,0.764336407,428.9040527,0.48,0.061352371,12.71990967,3624
MC205F_2019,2/6/19,0,0.587615788,417.640564,0.02,0.032772709,5.670944214,5020
MC205F_2019,2/6/19,0,0.806935549,419.0837402,0.56,0.037832382,6.007125854,3474
MC205F_2019,2/13/19,1,0.772534311,311.3448181,0.24,0.203102005,10.20298767,0
MC205F_2019,2/13/19,0,0.838623792,289.6998291,0.26,0.202065172,7.412078857,0
MC205F_2019,2/13/19,0,0.610110819,326.1534119,0.64,0.04966847,4.813034058,3386
MC205F_2019,2/13/19,0,0.303830743,269.4789429,0.46,0.09521304,7.915500641,4335.5
MC205F_2019,2/13/19,0,0.452062905,307.70224,0.44,0.081119888,9.519790649,4827
MC205F_2019,2/13/19,0,0.275017023,276.7264709,0.2,0.04263991,10.52965546,4607
MC205F_2019,2/22/19,1,0.683858395,387.8294373,0,0.121462583,8.686645508,0
MC205F_2019,2/22/19,0,0.594608635,405.1329651,0.08,0.060376725,6.646781921,0
MC205F_2019,2/22/19,0,0.696132123,381.4136963,0.84,0.123846603,4.78780365,0
MC205F_2019,2/22/19,0,0.192711696,326.6021118,0.26,0.114374644,5.348808289,2128
